,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,183,1958-01-01T00:00:00,1959-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output183,63.806,,,Ryan Holmes,2020-11-26T13:39:27,13827239,0,[],normal,7160.21,1.9627777777777777,7165.114253424657,1.9641221461187215,,,,1351.679999999702,1824,1455,361,0.104,741.20748,4556.21,784.61,"[48, 40]",roundrobin,30,27,1350,80,1,320cb201b381324873540be2cef8c7751546b415,2020-11-26 11:41:55 +1100,,,408456,False
,184,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output184,64.012,,,Ryan Holmes,2020-11-26T15:39:35,13829742,0,[],normal,7129.81,1.9544444444444444,7134.693431506849,1.955783105022831,0.0477777777777777,85462.76137624863,11.978477028717807,1351.679999999702,1824,1455,361,0.103,735.071267,4515.71,776.7,"[48, 40]",roundrobin,30,27,1350,80,1,d8c48bfe697b99b3d3ddb951f87d124d4541ab3b,2020-11-26 13:42:30 +1100,"ice/cice_in.nml, manifests/restart.yaml",['2020-11-26 13:42:30: Run 184'],410688,True
,185,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output185,64.045,,,Ryan Holmes,2020-11-26T17:37:37,13831918,0,[],normal,7151.09,1.9602777777777778,7136.436127049181,1.9562608151183971,0.00694444444444442,87242.89409771252,12.2249947375044,1351.679999999702,1824,1455,361,0.103,734.34427,4533.46,777.02,"[48, 40]",roundrobin,30,27,1350,80,1,72783e0db316884e307b9b20defbe427501f203b,2020-11-26 15:40:09 +1100,manifests/restart.yaml,['2020-11-26 15:40:09: Run 185'],412920,True
,186,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output186,64.041,,,Ryan Holmes,2020-11-26T19:35:44,13833869,0,[],normal,7153.12,1.9608333333333334,7158.019397260274,1.9621763698630137,0.007777777777777661,87206.09115281502,12.18299173458416,1382.4000000003725,1824,1455,361,0.102,724.306876,4550.14,767.82,"[48, 40]",roundrobin,30,27,1350,80,1,cdfb4d1d6548135933e11c518c13eaddedebc995,2020-11-26 17:38:23 +1100,manifests/restart.yaml,['2020-11-26 17:38:23: Run 186'],415152,True
,187,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output187,64.106,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/restart187,4.835,Ryan Holmes,2020-11-26T21:33:32,13835063,0,[],normal,7154.13,1.961111111111111,7159.030089041096,1.9624543378995434,0.0022222222222223476,87452.86247877759,12.2157417123653,1372.160000000149,1824,1455,361,0.105,747.622377,4515.69,791.46,"[48, 40]",roundrobin,30,27,1350,80,1,18ac0633d27a2156653e5d7536f29e758cdcf8c2,2020-11-26 19:36:09 +1100,manifests/restart.yaml,['2020-11-26 19:36:09: Run 187'],417384,True
,188,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output188,64.151,,,Ryan Holmes,2020-11-26T23:31:24,13837240,0,[],normal,7147.04,1.9591666666666667,7151.935232876712,1.9605085616438356,0.005277777777777715,87316.77828054299,12.208832356193149,1341.4400000004098,1824,1455,361,0.104,738.94791,4521.88,782.22,"[48, 40]",roundrobin,30,27,1350,80,1,e4e8505ffff181a659de2fbc265a1ea1694e65aa,2020-11-26 21:34:00 +1100,manifests/restart.yaml,['2020-11-26 21:34:00: Run 188'],419616,True
,189,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output189,64.191,,,Ryan Holmes,2020-11-27T01:30:25,13839632,0,[],normal,7209.87,1.976388888888889,7195.095676229508,1.9723389116575594,0.007222222222222241,87233.26816972412,12.123990019745996,1341.4400000004098,1824,1455,361,0.107,768.366827,4546.0,811.75,"[48, 40]",roundrobin,30,27,1350,80,1,28ba3d128c2fb0a5d0b5256e134cf3a7aed27d0e,2020-11-26 23:32:01 +1100,manifests/restart.yaml,['2020-11-26 23:32:01: Run 189'],421848,True
,190,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output190,64.158,,,Ryan Holmes,2020-11-27T03:28:46,13842164,0,[],normal,7188.59,1.9705555555555556,7193.513691780822,1.9719052511415525,0.0019444444444443043,87465.7338403042,12.158972316997318,1382.4000000003725,1824,1455,361,0.104,748.40423,4553.94,792.24,"[48, 40]",roundrobin,30,27,1350,80,1,c6fac49d37b108c703363f719355c92e45fc26ab,2020-11-27 01:30:47 +1100,manifests/restart.yaml,['2020-11-27 01:30:47: Run 190'],424080,True
,191,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output191,64.189,,,Ryan Holmes,2020-11-27T05:27:37,13843290,0,[],normal,7193.65,1.9719444444444445,7198.577157534246,1.973295091324201,0.008888888888888724,87159.07446360959,12.107819719954836,1372.160000000149,1824,1455,361,0.106,760.038987,4540.7,804.34,"[48, 40]",roundrobin,30,27,1350,80,1,79ef230ba9d0cf63288acc5cf0fa0d34b2d50182,2020-11-27 03:29:31 +1100,manifests/restart.yaml,['2020-11-27 03:29:31: Run 191'],426312,True
,192,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle4,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/output192,64.217,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle4/restart192,4.841,Ryan Holmes,2020-11-27T07:24:48,13843667,0,[],normal,7111.57,1.9494444444444445,7116.440938356164,1.9507796803652968,0.0036111111111110095,87390.07936282178,12.28002594552666,1361.9199999999255,1824,1455,361,0.098,696.217306,4525.85,739.43,"[48, 40]",roundrobin,30,27,1350,80,1,c285056076ca56c1acd69afe52cd5f91729e38d5,2020-11-27 05:28:07 +1100,manifests/restart.yaml,['2020-11-27 05:28:07: Run 192'],428544,True
