,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,305,1958-01-01T00:00:00,1959-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output305,89.533,,,Ryan Holmes,2021-04-19T12:44:01,21137773,0,[],normal,7184.53,1.9694444444444446,7189.4509109589035,1.970793378995434,,,,1351.679999999702,1824,1455,361,0.098,704.440612,4596.21,744.77,"[48, 40]",roundrobin,30,27,1350,80,1,80df6afc9008652d505ec4f41c8d9d6fa77bdbee,2021-04-19 10:46:05 +1000,,,1350,680760,False
,306,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output306,89.738,,,Ryan Holmes,2021-04-19T17:57:56,21148901,0,[],normal,7293.97,1.9994444444444444,7298.965869863014,2.0008139269406393,3.2325,33458.93326254314,4.58406490167231,1392.6399999996647,1824,1455,361,0.107,770.242157,4593.45,797.66,"[48, 40]",roundrobin,30,27,1350,80,1,1769a5b9f4bafe801572806e3f479034aec43fdf,2021-04-19 15:58:18 +1000,"ice/cice_in.nml, manifests/input.yaml, manifests/restart.yaml",['2021-04-19 15:58:18: Run 306'],1350,682992,True
,307,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output307,89.779,,,Ryan Holmes,2021-04-19T19:58:01,21157516,0,[],normal,7253.44,1.9883333333333333,7238.576393442623,1.9842588797814207,0.01305555555555582,86980.87661346287,12.01629600707927,1372.160000000149,1824,1455,361,0.104,752.051187,4614.47,796.58,"[48, 40]",roundrobin,30,27,1350,80,1,139ca304dd6dfccb61b783499cfa618e7b9f7036,2021-04-19 17:58:57 +1000,manifests/restart.yaml,['2021-04-19 17:58:56: Run 307'],1350,685224,True
,308,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output308,89.775,,,Ryan Holmes,2021-04-19T21:58:19,21164413,0,[],normal,7259.52,1.99,7264.4922739726035,1.99136301369863,0.014999999999999902,86896.99750623442,11.961881743280404,1361.9199999999255,1824,1455,361,0.105,758.584539,4616.7,803.93,"[48, 40]",roundrobin,30,27,1350,80,1,6d898a87d9adc8a9bfd8c36aeea772e9fb7379ef,2021-04-19 19:59:07 +1000,manifests/restart.yaml,['2021-04-19 19:59:07: Run 308'],1350,687456,True
,309,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output309,89.845,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/restart309,4.837,Ryan Holmes,2021-04-19T23:58:44,21171251,0,[],normal,7309.17,2.0036111111111112,7314.176280821918,2.0049834474885846,0.0033333333333334103,87406.54505190311,11.950292376885528,1392.6399999996647,1824,1455,361,0.103,750.427405,4638.23,791.23,"[48, 40]",roundrobin,30,27,1350,80,1,18bf52c5613d9aa7613e18becb7bd1af46a8cfd6,2021-04-19 21:58:49 +1000,manifests/restart.yaml,['2021-04-19 21:58:49: Run 309'],1350,689688,True
,310,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output310,89.891,,,Ryan Holmes,2021-04-20T01:59:02,21176360,0,[],normal,7300.05,2.0011111111111113,7305.050034246576,2.0024817351598174,0.0038888888888886086,87382.14463840399,11.961881743280404,1361.9199999999255,1824,1455,361,0.103,749.718064,4648.94,792.78,"[48, 40]",roundrobin,30,27,1350,80,1,2397366f63d28f45b0557c29a7c5a7d7a1a8de97,2021-04-19 23:59:11 +1000,manifests/restart.yaml,['2021-04-19 23:59:11: Run 310'],1350,691920,True
,311,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output311,89.916,,,Ryan Holmes,2021-04-20T03:59:27,21182453,0,[],normal,7302.08,2.0016666666666665,7287.116721311476,1.9975648907103825,0.005277777777778159,87321.75944636678,11.983032903945487,1372.160000000149,1824,1455,361,0.106,774.598127,4637.64,787.94,"[48, 40]",roundrobin,30,27,1350,80,1,dc79a456ce04ff82aea37174f66a00b6afb74d4f,2021-04-20 01:59:35 +1000,manifests/restart.yaml,['2021-04-20 01:59:35: Run 311'],1350,694152,True
,312,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output312,89.857,,,Ryan Holmes,2021-04-20T05:59:18,21186156,0,[],normal,7258.51,1.9897222222222222,7263.481582191781,1.9910850456621003,0.007777777777777883,87211.13391739674,12.006794941315249,1402.8799999998882,1824,1455,361,0.104,753.971074,4600.43,797.23,"[48, 40]",roundrobin,30,27,1350,80,1,9e39a0606abad38a74b4b8f80c0bdc240204731d,2021-04-20 04:00:08 +1000,manifests/restart.yaml,['2021-04-20 04:00:08: Run 312'],1350,696384,True
,313,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output313,90.47,,,Ryan Holmes,2021-04-20T10:34:58,21192585,1,[21188925],normal,8095.52,2.2191666666666667,8101.064876712329,2.2206866438356165,2.3752777777777774,42288.56880290206,5.220124693047034,1402.8799999998882,1824,1455,361,0.098,786.575718,5165.56,823.51,"[48, 40]",roundrobin,30,27,1200,80,1,9443debf69a6ed9a5a6dfd43a20d1bacba123668,2021-04-20 08:22:27 +1000,"accessom2.nml, config.yaml, manifests/restart.yaml","['2021-04-20 06:00:01: Run 313', '2021-04-20 08:22:27: Run 313']",1200,698616,True
,314,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle6,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/output314,89.915,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle6/restart314,4.843,Ryan Holmes,2021-04-20T13:56:17,21203948,0,[],normal,7317.28,2.0058333333333334,7322.291835616438,2.007207191780822,1.3494444444444444,52339.84535143638,7.148014109032035,1392.6399999996647,1824,1455,361,0.106,773.218956,4647.28,815.46,"[48, 40]",roundrobin,30,27,1350,80,1,65615dbdf94f60ec70391f1dde7d5ec975633737,2021-04-20 11:56:15 +1000,"accessom2.nml, config.yaml, manifests/restart.yaml",['2021-04-20 11:56:15: Run 314'],1350,700848,True
