,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,132,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output132,64.249,,,Ryan Holmes,2020-11-20T15:03:20,13665070,0,[],normal,7196.69,1.9727777777777777,7181.942684426229,1.9687352003642988,0.012222222222222356,87012.8765743073,12.115506959278779,1351.679999999702,1824,1455,361,0.103,742.803537,4532.54,785.62,"[48, 40]",roundrobin,30,27,1350,80,1,88e3e6a3ad0f04b32a4b06914cea99063214ed51,2020-11-20 13:05:12 +1100,manifests/restart.yaml,['2020-11-20 13:05:11: Run 132'],1350,294624,True
,133,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output133,64.21,,,Ryan Holmes,2020-11-20T17:02:21,13667109,0,[],normal,7216.96,1.9783333333333333,7221.903123287671,1.9796883561643834,0.005277777777777937,87319.05111328945,12.09086436395434,1351.679999999702,1824,1455,361,0.103,745.968408,4522.51,786.64,"[48, 40]",roundrobin,30,27,1350,80,1,ff2579c6b7341abcb3fb325b027a7b49eb50609f,2020-11-20 15:03:50 +1100,manifests/restart.yaml,['2020-11-20 15:03:50: Run 133'],1350,296856,True
,134,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output134,64.187,,,Ryan Holmes,2020-11-20T19:01:08,13669824,0,[],normal,7178.45,1.9677777777777778,7183.366746575342,1.9691255707762558,0.011944444444444313,87023.72386698471,12.114615184930258,1331.2000000001863,1824,1455,361,0.104,747.333274,4510.23,789.68,"[48, 40]",roundrobin,30,27,1350,80,1,f061665c50ac6ba0a1310cb8371a44673fd4dd1e,2020-11-20 17:03:05 +1100,manifests/restart.yaml,['2020-11-20 17:03:05: Run 134'],1350,299088,True
,135,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output135,64.158,,,Ryan Holmes,2020-11-20T20:59:32,13671366,0,[],normal,7184.53,1.9694444444444446,7189.4509109589035,1.970793378995434,0.0038888888888888307,87379.4189189189,12.153837615849937,1331.2000000001863,1824,1455,361,0.104,743.030952,4516.82,785.23,"[48, 40]",roundrobin,30,27,1350,80,1,78f0716d632c39e39996638ee4c81539d4a6a179,2020-11-20 19:01:45 +1100,manifests/restart.yaml,['2020-11-20 19:01:45: Run 135'],1350,301320,True
,136,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output136,64.223,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/restart136,4.84,Ryan Holmes,2020-11-20T22:58:29,13672617,0,[],normal,7202.77,1.9744444444444444,7188.0102254098365,1.970398451730419,0.008055555555555483,87196.20680958388,12.130785026062235,1351.679999999702,1824,1455,361,0.103,740.131351,4524.05,782.05,"[48, 40]",roundrobin,30,27,1350,80,1,4c6d87f9de240ef0c0d6720a018a220a1900e50b,2020-11-20 21:00:13 +1100,manifests/restart.yaml,['2020-11-20 21:00:13: Run 136'],1350,303552,True
,137,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output137,64.199,,,Ryan Holmes,2020-11-21T00:57:00,13674059,0,[],normal,7198.72,1.9733333333333334,7203.650630136986,1.9746849315068493,0.0019444444444443043,87465.81465335397,12.141873495007447,1382.4000000003725,1824,1455,361,0.1,719.548913,4564.5,763.34,"[48, 40]",roundrobin,30,27,1350,80,1,fd703b2d482422a1db18ee1e5a6ab35c8730e627,2020-11-20 22:58:54 +1100,manifests/restart.yaml,['2020-11-20 22:58:54: Run 137'],1350,305784,True
,138,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output138,64.178,,,Ryan Holmes,2020-11-21T02:55:43,13675764,0,[],normal,7181.49,1.968611111111111,7186.408828767123,1.9699594748858447,0.010000000000000009,87109.46735925874,12.121418282043795,1341.4400000004098,1824,1455,361,0.099,709.764875,4576.16,752.53,"[48, 40]",roundrobin,30,27,1350,80,1,ae50749a78002ae7823705f1e5d4da5e4a61a13d,2020-11-21 00:57:47 +1100,manifests/restart.yaml,['2020-11-21 00:57:47: Run 138'],1350,308016,True
,139,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output139,64.164,,,Ryan Holmes,2020-11-21T04:54:28,13676515,0,[],normal,7194.67,1.9722222222222223,7199.597856164383,1.9735730593607306,0.00694444444444442,87244.84042105264,12.11801577866638,1341.4400000004098,1824,1455,361,0.1,721.046549,4588.92,764.16,"[48, 40]",roundrobin,30,27,1350,80,1,692a47b30fc6e93d4121891e381a6ba2e6c49951,2020-11-21 02:56:18 +1100,manifests/restart.yaml,['2020-11-21 02:56:18: Run 139'],1350,310248,True
,140,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output140,64.213,,,Ryan Holmes,2020-11-21T06:57:39,13677007,0,[],normal,7199.73,1.9736111111111112,7184.976454918033,1.9695668260473589,0.0794444444444442,84164.07414422947,11.713897000542033,1361.9199999999255,1824,1455,361,0.098,705.163355,4571.78,746.89,"[48, 40]",roundrobin,30,27,1350,80,1,46b148cd8cd0417ca0e4f2aff053dee2806f60b3,2020-11-21 04:59:39 +1100,manifests/restart.yaml,['2020-11-21 04:59:39: Run 140'],1350,312480,True
,141,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output141,64.112,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/restart141,4.846,Ryan Holmes,2020-11-21T08:55:57,13678920,0,[],normal,7187.57,1.9702777777777778,7192.492993150685,1.9716272831050228,0.001388888888888884,87490.28571428571,12.164111358551416,1392.6399999996647,1824,1455,361,0.104,745.615757,4555.38,789.14,"[48, 40]",roundrobin,30,27,1350,80,1,1dc8b87dff95c5ee2f10707818e0b8f858a6505e,2020-11-21 06:58:03 +1100,manifests/restart.yaml,['2020-11-21 06:58:03: Run 141'],1350,314712,True
,142,1978-01-01T00:00:00,1979-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output142,64.101,,,Ryan Holmes,2020-11-21T10:54:26,13681513,0,[],normal,7173.39,1.966388888888889,7178.303280821918,1.9677357305936074,0.008333333333333304,87182.57082571389,12.145289411027985,1320.9599999999627,1824,1455,361,0.105,746.370127,4539.8,789.92,"[48, 40]",roundrobin,30,27,1350,80,1,d80e7182f48369263d6fbe3fa1375104d6328aed,2020-11-21 08:56:32 +1100,manifests/restart.yaml,['2020-11-21 08:56:32: Run 142'],1350,316944,True
,143,1979-01-01T00:00:00,1980-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output143,64.072,,,Ryan Holmes,2020-11-21T12:56:52,13682634,0,[],normal,7176.43,1.9672222222222222,7181.345363013699,1.9685696347031962,0.07333333333333347,84405.60196025047,11.753452548733724,1351.679999999702,1824,1455,361,0.104,744.558115,4540.9,787.92,"[48, 40]",roundrobin,30,27,1350,80,1,a6deda2282b1e4c82e7c4044c8832081f3a26d1f,2020-11-21 10:59:02 +1100,manifests/restart.yaml,['2020-11-21 10:59:02: Run 143'],1350,319176,True
,144,1980-01-01T00:00:00,1981-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output144,64.078,,,Ryan Holmes,2020-11-21T14:55:18,13683570,0,[],normal,7185.55,1.9697222222222222,7170.825512295082,1.9656859061930783,0.004166666666666652,87367.22769490571,12.183705703772329,1331.2000000001863,1824,1455,361,0.104,740.74029,4549.12,784.13,"[48, 40]",roundrobin,30,27,1350,80,1,7a3cfbe7b9842a3f533d126a9f16972c80fd4a69,2020-11-21 12:57:26 +1100,manifests/restart.yaml,['2020-11-21 12:57:26: Run 144'],1350,321408,True
,145,1981-01-01T00:00:00,1982-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output145,64.096,,,Ryan Holmes,2020-11-21T16:53:31,13684174,0,[],normal,7168.32,1.965,7173.229808219177,1.966345890410959,0.005277777777777715,87317.47469335965,12.172686088114752,1382.4000000003725,1824,1455,361,0.104,741.569344,4538.19,785.47,"[48, 40]",roundrobin,30,27,1350,80,1,b49f54f9aa5f4facd2368ba5e4d6816fe4bbbf57,2020-11-21 14:55:58 +1100,manifests/restart.yaml,['2020-11-21 14:55:58: Run 145'],1350,323640,True
,146,1982-01-01T00:00:00,1983-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output146,64.077,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/restart146,4.846,Ryan Holmes,2020-11-21T18:51:46,13684779,0,[],normal,7165.28,1.9641666666666666,7170.187726027397,1.9655119863013697,0.006666666666666821,87255.84101479914,12.169254746018034,1331.2000000001863,1824,1455,361,0.104,742.374157,4547.67,786.33,"[48, 40]",roundrobin,30,27,1350,80,1,fca817c824370ae619ab488d8fe122bae5929b0b,2020-11-21 16:54:07 +1100,manifests/restart.yaml,['2020-11-21 16:54:06: Run 146'],1350,325872,True
,147,1983-01-01T00:00:00,1984-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output147,64.017,,,Ryan Holmes,2020-11-21T20:49:57,13685408,0,[],normal,7160.21,1.9627777777777777,7165.114253424657,1.9641221461187215,0.00694444444444442,87243.28641940487,12.176119365815534,1351.679999999702,1824,1455,361,0.103,737.262687,4532.83,781.24,"[48, 40]",roundrobin,30,27,1350,80,1,2355eb9a220b13fc8b2af1524d8356d8107c31c1,2020-11-21 18:52:23 +1100,manifests/restart.yaml,['2020-11-21 18:52:23: Run 147'],1350,328104,True
,148,1984-01-01T00:00:00,1985-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output148,64.14,,,Ryan Holmes,2020-11-21T22:48:41,13686646,0,[],normal,7168.32,1.965,7153.630819672131,1.9609733606557378,0.01388888888888884,86937.51375631666,12.152921495087893,1351.679999999702,1824,1455,361,0.103,734.861746,4549.18,777.98,"[48, 40]",roundrobin,30,27,1350,80,1,5323f384e2423219301eaabda143383e29032792,2020-11-21 20:50:59 +1100,manifests/restart.yaml,['2020-11-21 20:50:59: Run 148'],1350,330336,True
,149,1985-01-01T00:00:00,1986-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output149,64.855,,,Ryan Holmes,2020-11-22T00:46:48,13687835,0,[],normal,7164.27,1.9638888888888888,7169.177034246576,1.96523401826484,0.004722222222222294,87342.02455199663,12.18299173458416,1331.2000000001863,1824,1455,361,0.104,742.253423,4542.84,786.9,"[48, 40]",roundrobin,30,27,1350,80,1,f8e4a7d9645381c3ba426542c2a6555e2fb0e6f7,2020-11-21 22:49:11 +1100,manifests/restart.yaml,['2020-11-21 22:49:10: Run 149'],1350,332568,True
,150,1986-01-01T00:00:00,1987-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output150,64.066,,,Ryan Holmes,2020-11-22T02:46:35,13688899,0,[],normal,7213.92,1.9775,7218.861041095891,1.9788544520547946,0.018888888888888955,86723.62432169194,12.013477448587441,1341.4400000004098,1824,1455,361,0.103,741.824768,4563.63,782.75,"[48, 40]",roundrobin,30,27,1350,80,1,6bc7343e6ca049a15a05df7eacb3d16ebf24007f,2020-11-22 00:48:24 +1100,manifests/restart.yaml,['2020-11-22 00:48:24: Run 150'],1350,334800,True
,151,1987-01-01T00:00:00,1988-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output151,64.062,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/restart151,4.852,Ryan Holmes,2020-11-22T04:47:33,13690900,0,[],normal,7308.16,2.0033333333333334,7313.165589041096,2.004705479452055,0.012777777777777555,86997.10994764398,11.895957897905477,1372.160000000149,1824,1455,361,0.103,750.896431,4650.12,795.06,"[48, 40]",roundrobin,30,27,1350,80,1,63e390125c1e8361a2e0b5a227f0baaed6213119,2020-11-22 02:47:34 +1100,manifests/restart.yaml,['2020-11-22 02:47:34: Run 151'],1350,337032,True
,152,1988-01-01T00:00:00,1989-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output152,64.207,,,Ryan Holmes,2020-11-22T06:45:55,13691359,0,[],normal,7191.63,1.9713888888888889,7176.893053278689,1.9673491575591986,0.001388888888888884,87490.40157702056,12.190567830330352,1341.4400000004098,1824,1455,361,0.105,752.472157,4542.72,795.69,"[48, 40]",roundrobin,30,27,1350,80,1,27fdaf390e8f6b68a0db7e197ad2dbbecd73e0eb,2020-11-22 04:47:56 +1100,manifests/restart.yaml,['2020-11-22 04:47:56: Run 152'],1350,339264,True
,153,1989-01-01T00:00:00,1990-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle3,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle3/output153,64.04,,,Ryan Holmes,2020-11-22T08:44:51,13691835,0,[],normal,7200.75,1.9738888888888888,7205.682020547945,1.9752408675799085,0.008333333333333526,87183.96860986546,12.099336101877515,1372.160000000149,1824,1455,361,0.106,756.813017,4557.17,799.96,"[48, 40]",roundrobin,30,27,1350,80,1,df16211d1f55113ed23eec981fb083f4a61b1b04,2020-11-22 06:46:45 +1100,manifests/restart.yaml,['2020-11-22 06:46:45: Run 153'],1350,341496,True
