,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> use_restart_time
,244,1958-01-01T00:00:00,1959-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output244,63.706,,,Ryan Holmes,2020-12-01T15:38:42,13971870,0,[],normal,7222.03,1.9797222222222222,7226.976595890411,1.9810781963470319,,,,1351.679999999702,1824,1455,361,0.102,732.74623,4576.33,776.57,"[48, 40]",roundrobin,30,27,1350,80,1,21e065d6fff155d63196dadcbfa462af4321c0c8,2020-12-01 13:40:11 +1100,,,1350,544608,False
,245,1959-01-01T00:00:00,1960-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output245,63.914,,,Ryan Holmes,2020-12-01T19:03:34,13982371,0,[],normal,7205.81,1.9752777777777777,7210.74548630137,1.976630707762557,1.4391666666666667,50649.36413927759,7.024150864220465,1361.9199999999255,1824,1455,361,0.104,743.765094,4578.64,788.24,"[48, 40]",roundrobin,30,27,1350,80,1,cb4679c451945e1de782a84098cd35bc592f39f7,2020-12-01 17:05:12 +1100,"ice/cice_in.nml, manifests/restart.yaml",['2020-12-01 17:05:12: Run 245'],1350,546840,True
,246,1960-01-01T00:00:00,1961-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output246,63.966,,,Ryan Holmes,2020-12-01T21:03:01,13985982,0,[],normal,7235.2,1.9833333333333334,7220.373770491803,1.9792691256830601,0.00749999999999984,87222.1682712432,12.080007357472606,1372.160000000149,1824,1455,361,0.103,741.195591,4563.16,779.05,"[48, 40]",roundrobin,30,27,1350,80,1,f636e32a89107c5a71480ceea9ef67e682fcfc94,2020-12-01 19:04:38 +1100,manifests/restart.yaml,['2020-12-01 19:04:38: Run 246'],1350,549072,True
,247,1961-01-01T00:00:00,1962-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output247,63.975,,,Ryan Holmes,2020-12-01T23:01:56,13989882,0,[],normal,7207.84,1.9758333333333333,7212.776876712329,1.9771866438356165,0.006111111111111178,87282.04288717589,12.101031874281423,1382.4000000003725,1824,1455,361,0.104,746.272454,4569.08,788.82,"[48, 40]",roundrobin,30,27,1350,80,1,05bb452209cd8a87a1e97ad1e884c7877d6f7cb9,2020-12-01 21:03:40 +1100,manifests/restart.yaml,['2020-12-01 21:03:40: Run 247'],1350,551304,True
,248,1962-01-01T00:00:00,1963-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output248,64.038,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/restart248,4.835,Ryan Holmes,2020-12-02T01:00:43,13992875,0,[],normal,7201.76,1.9741666666666666,7206.692712328767,1.9755188356164384,0.005555555555555536,87306.30896590432,12.114615184930258,1341.4400000004098,1824,1455,361,0.102,735.938308,4560.68,777.78,"[48, 40]",roundrobin,30,27,1350,80,1,8c0036a8c1a458406505e50e12664cbdf5a601e9,2020-12-01 23:02:29 +1100,manifests/restart.yaml,['2020-12-01 23:02:29: Run 248'],1350,553536,True
,249,1963-01-01T00:00:00,1964-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output249,64.073,,,Ryan Holmes,2020-12-02T02:59:22,13995568,0,[],normal,7203.79,1.9747222222222223,7208.724102739726,1.9760747716894977,0.002777777777777768,87429.05689001264,12.128229024160408,1341.4400000004098,1824,1455,361,0.101,723.663159,4581.66,767.23,"[48, 40]",roundrobin,30,27,1350,80,1,5755aa01dac5c32aace6b81cd107e06adc399575,2020-12-02 01:01:15 +1100,manifests/restart.yaml,['2020-12-02 01:01:15: Run 249'],1350,555768,True
,250,1964-01-01T00:00:00,1965-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output250,64.116,,,Ryan Holmes,2020-12-02T04:57:52,13998003,0,[],normal,7184.53,1.9694444444444446,7169.807602459016,1.9654086976320584,0.005555555555555536,87305.68101265823,12.1768512983131,1341.4400000004098,1824,1455,361,0.099,713.744639,4585.34,757.13,"[48, 40]",roundrobin,30,27,1350,80,1,a384d9b85b8e83ae221515f8d806148ee927b3f1,2020-12-02 02:59:53 +1100,manifests/restart.yaml,['2020-12-02 02:59:53: Run 250'],1350,558000,True
,251,1965-01-01T00:00:00,1966-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output251,64.09,,,Ryan Holmes,2020-12-02T06:56:16,13999919,0,[],normal,7190.61,1.971111111111111,7195.5350753424655,1.9724611872146118,0.0022222222222223476,87453.36486486485,12.153837615849937,1341.4400000004098,1824,1455,361,0.101,725.800304,4576.26,770.26,"[48, 40]",roundrobin,30,27,1350,80,1,ad174497f448cef127b5f0ab75cd676fc11e2a4b,2020-12-02 04:58:11 +1100,manifests/restart.yaml,['2020-12-02 04:58:11: Run 251'],1350,560232,True
,252,1966-01-01T00:00:00,1967-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output252,64.117,,,Ryan Holmes,2020-12-02T08:55:08,14002188,0,[],normal,7192.64,1.9716666666666667,7197.566465753425,1.9730171232876712,0.009444444444444366,87134.61805945037,12.106122044727698,1320.9599999999627,1824,1455,361,0.101,728.522719,4567.53,772.04,"[48, 40]",roundrobin,30,27,1350,80,1,478916b2fec7858292320a52f3075c8b5096e48b,2020-12-02 06:56:59 +1100,manifests/restart.yaml,['2020-12-02 06:56:59: Run 252'],1350,562464,True
,253,1967-01-01T00:00:00,1968-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle5,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/output253,64.153,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle5/restart253,4.842,Ryan Holmes,2020-12-02T11:59:35,14005008,0,[],normal,7183.52,1.9691666666666667,7188.440219178083,1.9705154109589043,1.105,56081.69585253456,7.8016501692417055,1382.4000000003725,1824,1455,361,0.288,3203.068317,4548.55,3246.97,"[48, 40]",roundrobin,30,27,1350,80,1,466479e2e07e233756bf7b55de5d05558ba9f629,2020-12-02 08:55:50 +1100,manifests/restart.yaml,['2020-12-02 08:55:50: Run 253'],1350,564696,True
