,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,10,1968-01-01T00:00:00,1969-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output010,64.304,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/restart010,4.838,Ryan Holmes,2020-11-04T17:48:47,13198652,0,[],normal,7221.01,1.9794444444444443,7206.212848360656,1.9753882058287795,0.006388888888888999,87270.28451531683,12.110422818716765,1351.679999999702,1824,1455,361,0.104,751.564774,4594.89,796.38,"[48, 40]",roundrobin,30,27,1350,80,1,962dff06343b3338eaf10f275f5e06e0fa822c2c,2020-11-04 15:50:12 +1100,manifests/restart.yaml,['2020-11-04 15:50:12: Run 10'],22320,True,continue
,11,1969-01-01T00:00:00,1970-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output011,64.241,,,Ryan Holmes,2020-11-04T19:47:10,13200809,0,[],normal,7188.59,1.9705555555555556,7193.513691780822,1.9719052511415525,0.0024999999999999467,87441.10601154443,12.155548700971131,1341.4400000004098,1824,1455,361,0.106,758.789026,4552.2,803.43,"[48, 40]",roundrobin,30,27,1350,80,1,2ef31cc62746c86071ddc3e4285c44eee56e9361,2020-11-04 17:49:07 +1100,manifests/restart.yaml,['2020-11-04 17:49:07: Run 11'],24552,True,continue
,12,1970-01-01T00:00:00,1971-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output012,64.223,,,Ryan Holmes,2020-11-04T21:45:36,13202768,0,[],normal,7177.44,1.9675,7182.35605479452,1.9688476027397261,0.006388888888888777,87268.62032085561,12.150416890374043,1341.4400000004098,1824,1455,361,0.105,753.680446,4549.7,797.32,"[48, 40]",roundrobin,30,27,1350,80,1,0167e7bb173725d6eb19b76814494aecbe312e57,2020-11-04 19:47:44 +1100,manifests/restart.yaml,['2020-11-04 19:47:44: Run 12'],26784,True,continue
,13,1971-01-01T00:00:00,1972-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output013,64.199,,,Ryan Holmes,2020-11-04T23:43:51,13205063,0,[],normal,7175.41,1.9669444444444444,7180.324664383562,1.9682916666666666,0.0038888888888890527,87379.2,12.169254746018034,1351.679999999702,1824,1455,361,0.105,751.797004,4554.43,791.99,"[48, 40]",roundrobin,30,27,1350,80,1,3e43f8532183c404c526ac5299bed9678f0b1d4e,2020-11-04 21:46:02 +1100,manifests/restart.yaml,['2020-11-04 21:46:02: Run 13'],29016,True,continue
,14,1972-01-01T00:00:00,1973-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output014,64.289,,,Ryan Holmes,2020-11-05T01:42:28,13206561,0,[],normal,7199.73,1.9736111111111112,7184.976454918033,1.9695668260473589,0.0033333333333331883,87404.33778277363,12.164874628496019,1351.679999999702,1824,1455,361,0.105,758.210322,4555.6,802.33,"[48, 40]",roundrobin,30,27,1350,80,1,1996552d7c3263b8cdfa2df552904eed77e22120,2020-11-04 23:44:14 +1100,manifests/restart.yaml,['2020-11-04 23:44:14: Run 14'],31248,True,continue
,15,1973-01-01T00:00:00,1974-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output015,64.254,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/restart015,4.848,Ryan Holmes,2020-11-05T03:40:56,13207940,0,[],normal,7198.72,1.9733333333333334,7203.650630136986,1.9746849315068493,0.0011111111111110628,87502.7304445695,12.146998089898418,1382.4000000003725,1824,1455,361,0.1,721.223564,4585.11,763.52,"[48, 40]",roundrobin,30,27,1350,80,1,9f2abe0f4c30795309e74f49ed34096933f4312a,2020-11-05 01:42:48 +1100,manifests/restart.yaml,['2020-11-05 01:42:48: Run 15'],33480,True,continue
,16,1974-01-01T00:00:00,1975-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output016,64.231,,,Ryan Holmes,2020-11-05T06:26:28,13209838,1,[13209566],normal,7206.83,1.9755555555555555,7211.766184931506,1.9769086757990868,0.7833333333333334,62693.3258155457,8.69320000231554,1382.4000000003725,1824,1455,361,0.104,744.683373,4548.23,788.42,"[48, 40]",roundrobin,30,27,1350,80,1,155cc3ed18e21e71570508244f2da5c5ba6b23bc,2020-11-05 03:41:27 +1100,manifests/restart.yaml,['2020-11-05 03:41:27: Run 16'],35712,True,continue
,17,1975-01-01T00:00:00,1976-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output017,64.233,,,Ryan Holmes,2020-11-05T08:27:20,13210855,0,[],normal,7341.6,2.0125,7346.628493150685,2.0138784246575345,0.0019444444444443043,87467.49034749035,11.90580011348565,1331.2000000001863,1824,1455,361,0.107,785.580523,4619.59,795.0,"[48, 40]",roundrobin,30,27,1350,80,1,9e14b3dc5b6a2a607c7c5289cb175fe4f6531407,2020-11-05 06:26:45 +1100,manifests/restart.yaml,['2020-11-05 06:26:45: Run 17'],37944,True,continue
,18,1976-01-01T00:00:00,1977-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output018,64.26,,,Ryan Holmes,2020-11-05T10:27:06,13211903,0,[],normal,7274.72,1.9941666666666666,7259.812786885246,1.9900802595628415,0.0019444444444445264,87466.71416643474,12.048067454913186,1382.4000000003725,1824,1455,361,0.105,759.341948,4549.21,801.08,"[48, 40]",roundrobin,30,27,1350,80,1,ddfc6c0ed16fd42980b48be3f54a0f929ec65d60,2020-11-05 08:27:41 +1100,manifests/restart.yaml,['2020-11-05 08:27:41: Run 18'],40176,True,continue
,19,1977-01-01T00:00:00,1978-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_jra55_iaf_amoctopo_cycle1,/scratch/e14/rmh561/access-om2/archive/025deg_jra55_iaf_amoctopo_cycle1/output019,64.182,,,Ryan Holmes,2020-11-05T12:27:11,13215370,0,[],normal,7290.93,1.9986111111111111,7295.923787671233,1.9999800228310503,0.00277777777777799,87430.44441360165,11.983464597223865,1392.6399999996647,1824,1455,361,0.104,757.602168,4528.23,800.43,"[48, 40]",roundrobin,30,27,1350,80,1,6bcf852c72c00d9efce5b0e18d3114cf8417274d,2020-11-05 10:27:25 +1100,manifests/restart.yaml,['2020-11-05 10:27:25: Run 19'],42408,True,continue
